"Paper clips  KENKO No. 5, isi 10 dus/pak",1,25000
"Pemotong Kertas ukuran 256 x 197 mm, Ex. Japan Ukuran 754 x 435 x 170 mm, berat 7 kg,
ukuran kertas A3, kapasitas potong 10 lembar, Jenis pisau Guillotine
",3,900000
"Penghapus   Penghapus whiteboard, kemasan dus, pegangan plastik ukuran sedang",3,7000
"Penghapus pensil Staedtler Ukuran Kecil, isi 40 buah per pak,warna putih, kualitas baik setara Staedtler",1,54000
"Penghapus pensil Staedtler Ukuran Besar isi 20 buah per pak, warna putih, kualitas baik setara Staedtler",1,80000
Pensil Faber Castle 2B setara Faber Castell/Staedtler asli,2,33000
Perforator KENKO  No. 30 XL kualitas baik,3,10000
Perforator  KENKO  No. 85 kualitas baik,3,35000
"Pisau/cutter KENKO  Ukuran Besar, pengunci mata pisau diputar setara L500 Kenko/Joyko",3,8500
"Pisau/cutter  KENKO  Ukuran Kecil, setara A300 Kenko/Joyko",3,3500
"Pita mesin tik Brother Mesin tik elektrik, Brother GX6750",3,30000
"Pita mesin tik Lemington Mesin tik elektrik, Remingtton SR 101",3,47500
"Pita mesin tik  Swallow Mesin tik manual, warna hitam",5,14000
Pita printer  Epson Untuk printer Epson LQ 2180 original,3,70000
Pita printer  Epson Untuk printer Epson LX300 original,3,27000
"Serutan pensil Carl Angel Dapat dijepit disisi meja, bahan body besi, setara Carl Angel 5",3,45000
Spidol permanen Artline Warna hitam dan biru isi 12/dus setara Artline 70,2,78000
Staples MAX No. 10 setara Max / merk jepang,3,11000
Staples MAX No. 03 setara Max / merk jepang,3,45000
"Stopmap folio Kabita Karton biasa, 1 pak isi 50 buah",1,15000
"Tali rapia  Gulungan besar, ukuran 1 kg",5,14000
Tape Dispenser   Ukuran 72 yard,3,16000
"Tinta Fax (Kertas Karbon Fax) Panasonic  KX-FA 93A/KX-FP 342, Untuk mesin Fax Panasonic  KX-FA 93A/KX-FP 342",3,35000
Tinta printer Brother TN2025 Brother Black TN2025 original,3,725000
Tinta printer Canon Canon CL41 colour original,3,225000
Tinta printer Canon Canon PG-40 Black original,3,185000
Tinta printer Canon Canon PGI-9 Clear original,3,205000
Tinta printer Canon Canon PG-810 Black original,3,185000
Tinta printer Canon Canon CL-811 Colour original,3,205000
Tinta printer Canon Canon PGI-7BK Black original,3,150000
Tinta printer Canon Canon PGI-9PBK Photo Black original,3,120000
Tinta printer Canon Canon PGI-9C Cyan original,3,145000
Tinta printer Canon Canon PGI-9M Magenta original,3,145000
Tinta printer Canon Canon PGI-9Y Yellow original,3,145000
Tinta printer HP HP Black C7280 02 original,3,219000
Tinta printer HP HP Cyan C7280 02 original,3,117000
Tinta printer HP HP Light Cyan C7280 02 original,3,117000
Tinta printer HP HP Light Magenta C7280 02 original,3,117000
Tinta printer HP HP Magenta C7280 02 original,3,117000
Tinta printer HP HP Yellow C7280 02 original,3,117000
Tinta printer HP HP Deskjet 27 Black original,3,218000
Tinta printer HP HP 27/28 Combo Pack Ink Cartridge,3,409000
Tinta printer HP HP Deskjet 21 Black original,3,172000
Tinta printer HP HP Deskjet 22 Colour original,3,198000
